detected 1719 touch events 09:30-12:00 ET

     time     level       appr def        px |   wall     l3    gap iceN  iceCF |     cvd  cvd60  tBuy tSell |    up+    dn-    net
 09:34:29    LVN_dn from_below ask  30526.75 |     15     13      2    0      0 |   -1863   -421    33    90 |  13.75 -135.75 -38.75
 09:34:30    LVN_dn from_below ask  30527.25 |     14     13      1    0      0 |   -1856   -414    40    97 |  13.25 -136.25 -39.25
 09:34:30    LVN_dn from_above bid  30527.50 |     12     11      1    0      0 |   -1875   -433    48   115 |   13.0 -136.5  -41.0
 09:34:31       VAH from_above bid  30522.00 |      4      3      1    0      0 |   -1903   -453    16    46 |   18.5 -131.0  -35.5
 09:34:33    LVN_dn from_below ask  30526.75 |     15     14      1    0      0 |   -1879   -407    57   117 |  13.75 -135.75 -41.75
 09:34:34    LVN_dn from_below ask  30527.00 |     10      9      1    0      0 |   -1878   -415    61   119 |   13.5 -136.0  -45.5
 09:34:36    LVN_dn from_above bid  30527.75 |     16     16      0    0      0 |   -1875   -412    76   135 |  12.75 -136.75 -52.25
 09:34:36    LVN_dn from_above bid  30527.50 |     16     15      1    0      0 |   -1858   -396    80   139 |   13.0 -136.5 -48.75
 09:34:36    LVN_dn from_above bid  30527.50 |     17     16      1    0      0 |   -1814   -352    92   144 |   13.0 -136.5  -49.5
 09:34:37    LVN_dn from_below ask  30526.75 |     19     18      1    0      0 |   -1816   -354    97   146 |  13.75 -135.75  -50.0
 09:34:37    LVN_dn from_below ask  30527.00 |     21     20      1    0      0 |   -1802   -340   116   148 |   13.5 -136.0 -51.25
 09:34:38       VAH from_above bid  30522.25 |     10      9      1    0      0 |   -1812   -347    35    61 |  18.25 -131.25  -46.5
 09:34:38       VAH from_below ask  30521.50 |     14     13      1    0      0 |   -1858   -400    42    66 |   19.0 -130.5 -45.75
 09:34:47     EM+1s from_above bid  30509.00 |      6      5      1    0      0 |   -1944   -441     0     4 |   31.5 -118.0  -42.5
 09:34:48     EM+1s from_below ask  30508.25 |     20     19      1    0      0 |   -1943   -428     7     7 |  32.25 -117.25 -41.25
 09:34:48     EM+1s from_below ask  30508.25 |     23     21      2    0      0 |   -1949   -434    14    12 |  32.25 -117.25  -43.0
 09:34:49     EM+1s from_below ask  30508.50 |     16     15      1    0      0 |   -1925   -398    32    25 |   32.0 -117.5  -42.5
 09:34:50     EM+1s from_below ask  30508.25 |     22     14      8    0      0 |   -1903   -376    51    31 |  32.25 -117.25 -41.25
 09:35:01     onVAH from_above bid  30478.75 |      8      7      1    0      0 |   -2133   -498     0    14 |  61.75 -87.75  -14.5
 09:35:01     onVAH from_below ask  30478.50 |     14     14      0    0      0 |   -2134   -514     7    20 |   62.0  -87.5 -15.25
 09:35:15     onVAH from_above bid  30479.25 |      7      5      2    0      0 |   -2115   -415    12    35 |  61.25 -88.25    3.5
 09:35:15     onVAH from_below ask  30478.50 |     20     19      1    0      0 |   -2088   -388    30    43 |   62.0  -87.5   3.75
 09:35:16     onVAH from_below ask  30478.75 |     34     33      1    0      0 |   -2067   -367    51    46 |  61.75 -87.75   2.25
 09:35:16     onVAH from_above bid  30479.25 |      0      0      0    0      0 |   -2108   -408    51    52 |  61.25 -88.25   1.75
 09:35:16     onVAH from_below ask  30479.00 |     34     34      0    0      0 |   -2108   -408    51    52 |   61.5  -88.0    2.0
 09:35:18     onVAH from_below ask  30478.50 |     29     25      4    0      0 |   -2120   -391    70    53 |   62.0  -87.5   0.25
 09:35:19     onVAH from_below ask  30478.50 |     27     25      2    0      0 |   -2113   -382    77    53 |   62.0  -87.5   -0.5
 09:35:19     onVAH from_below ask  30478.50 |     15     16      0    0      0 |   -2108   -382    83    53 |   62.0  -87.5    0.0
 09:35:30     onVAH from_above bid  30479.50 |     13     14      0    0      0 |   -1952    -79    93    68 |   61.0  -88.5  -17.5
 09:35:31     onVAH from_above bid  30479.00 |      1      1      0    0      0 |   -1971    -68    94    71 |   61.5  -88.0 -15.25
 09:35:31     onVAH from_below ask  30479.25 |      5      4      1    0      0 |   -2028   -125    95    71 |  61.25 -88.25 -16.25
 09:35:31     onVAH from_below ask  30478.75 |      9      9      0    0      0 |   -2022   -121    95    75 |  61.75 -87.75  -17.0
 09:35:31     onVAH from_below ask  30478.75 |     11     11      0    0      0 |   -2044   -142    99    74 |  61.75 -87.75  -18.0
 09:35:32     onVAH from_above bid  30479.50 |     14     14      0    0      0 |   -2035   -137    96    78 |   61.0  -88.5  -20.0
 09:35:34     onVAH from_above bid  30479.50 |     19     21      0    0      0 |   -2043   -166    92    76 |   61.0  -88.5 -29.75
 09:35:37     onVAH from_above bid  30479.50 |     22     15      7    0      0 |   -2096   -284    92    90 |   61.0  -88.5  -33.0
 09:35:37     onVAH from_below ask  30479.25 |     12     11      1    0      0 |   -2112   -301    93    98 |  61.25 -88.25 -32.75
 09:35:40     onVAH from_above bid  30479.25 |      7      7      0    0      0 |   -2117   -213   109   108 |  61.25 -88.25  -37.5
 09:35:42     onVAH from_below ask  30478.50 |     20     20      0    0      0 |   -2116   -190   124   123 |   62.0  -87.5 -33.75
 09:35:42     onVAH from_below ask  30479.25 |     20     20      0    0      0 |   -2116   -190   124   123 |  61.25 -88.25  -34.5
 09:35:42     onVAH from_below ask  30479.00 |     20     20      0    0      0 |   -2116   -190   124   123 |   61.5  -88.0 -34.25
 09:35:43     onVAH from_above bid  30479.50 |     11     11      0    0      0 |   -2100   -180   135   133 |   61.0  -88.5 -34.75
 09:35:43     onVAH from_above bid  30479.50 |      7     13      0    0      0 |   -2105   -188   136   135 |   61.0  -88.5 -34.75
