detected 1719 touch events 09:30-12:00 ET

     time     level       appr def        px |   wall     l3    gap iceN  iceCF |     cvd  cvd60  tBuy tSell |    up+    dn-    net
 10:28:07       PDH from_below ask  30545.00 |     11     11      0    0      0 |   -3404   -296     2    20 |  97.25  -81.5  97.25
 10:28:07       PDH from_above bid  30544.75 |      5      5      0    0      0 |   -3404   -296     2    20 |   97.5 -81.25   97.5
 10:28:07       PDH from_above bid  30545.00 |      5      5      0    0      0 |   -3404   -296     2    20 |  97.25  -81.5  97.25
 10:28:07       PDH from_below ask  30545.00 |      9      8      1    0      0 |   -3403   -295     3    20 |   97.5  -81.5   97.5
 10:28:10       PDH from_below ask  30544.25 |      8      7      1    0      0 |   -3424   -326    10    25 |  109.5 -80.75  109.5
 10:28:10       PDH from_below ask  30544.50 |     13     12      1    0      0 |   -3429   -332    11    25 | 109.25  -81.0 109.25
 10:28:14    LVN_dn from_above bid  30527.00 |      6      6      0    0      0 |   -3466   -394     0     4 | 130.75  -63.5  124.5
 10:28:14    LVN_dn from_below ask  30527.00 |     15     14      1    0      0 |   -3480   -408     1    12 | 130.75  -63.5  124.5
 10:28:14    LVN_dn from_above bid  30527.50 |     21     21      0    0      0 |   -3454   -385    14    22 | 130.25  -64.0  124.0
 10:28:14    LVN_dn from_above bid  30527.25 |     21     21      0    0      0 |   -3454   -385    14    22 |  130.5 -63.75 124.25
 10:28:14    LVN_dn from_above bid  30527.00 |     21     21      0    0      0 |   -3454   -385    14    22 | 130.75  -63.5  124.5
 10:28:14    LVN_dn from_below ask  30527.25 |      0      0      0    0      0 |   -3454   -385    14    22 |  130.5 -63.75 124.25
 10:28:19    LVN_dn from_above bid  30527.25 |      0      0      0    0      0 |   -3509   -382    16    46 |  130.5 -63.75  120.0
 10:28:19    LVN_dn from_above bid  30527.50 |      0      0      0    0      0 |   -3509   -382    16    46 | 130.25  -64.0 119.75
 10:28:25       PDH from_below ask  30544.25 |     27     20      7    0      0 |   -3442   -246    22    16 |  113.5 -80.75 100.25
 10:28:32    LVN_dn from_above bid  30527.50 |     12     12      0    0      0 |   -3485   -221    25    48 | 130.25  -64.0  114.5
 10:28:32    LVN_dn from_above bid  30527.50 |      8      7      1    0      0 |   -3486   -222    37    63 | 130.25  -64.0  115.0
 10:28:35    LVN_dn from_above bid  30527.50 |      9      9      0    0      0 |   -3491   -201    41    68 | 130.25  -64.0 121.25
 10:28:35       VAH from_above bid  30522.50 |     10      6      4    0      0 |   -3536   -246     0     5 | 135.25  -59.0 127.75
 10:28:35       VAH from_above bid  30521.75 |     11     10      1    0      0 |   -3536   -255     0     9 |  136.0 -58.25 128.75
 10:28:35       VAH from_above bid  30522.00 |      7      7      0    0      0 |   -3532   -196     4    15 | 135.75  -58.5 128.25
 10:28:41     EM+1s from_above bid  30508.75 |      4      4      0    0      0 |   -3648   -268     0     2 |  149.0 -45.25  143.0
 10:28:44     EM+1s from_above bid  30509.00 |      5      4      1    0      0 |   -3652   -316    15    10 | 148.75  -45.5  142.0
 10:28:46     EM+1s from_above bid  30508.50 |      5      5      0    0      0 |   -3657   -315    19    17 | 149.25  -45.0  145.0
 10:28:50     EM+1s from_above bid  30509.00 |     19     12      7    0      0 |   -3686   -327    22    28 | 148.75  -45.5  145.5
 10:28:51     EM+1s from_above bid  30508.75 |     10      9      1    0      0 |   -3690   -329    22    32 |  149.0 -45.25 145.25
 10:28:52     EM+1s from_above bid  30509.00 |      7      7      0    0      0 |   -3698   -320    46    43 | 148.75  -45.5 146.25
 10:28:55       VAH from_below ask  30521.50 |      1      0      1    0      0 |   -3660   -290     9    28 | 137.25  -58.0  136.0
 10:28:58       VAH from_above bid  30522.50 |     13     13      0    0      0 |   -3603   -211    24    34 |  138.0  -59.0 137.25
 10:28:58       VAH from_below ask  30522.25 |      9      9      0    0      0 |   -3608   -216    27    40 | 138.25 -58.75  137.5
 10:29:00       VAH from_above bid  30522.50 |     16     12      4    0      0 |   -3635   -239    28    63 | 138.25  -59.0  133.5
 10:29:01       VAH from_above bid  30522.50 |     12     11      1    0      0 |   -3621   -238    35    66 | 138.25  -59.0 133.25
 10:29:03    LVN_dn from_below ask  30527.00 |     15     14      1    0      0 |   -3600   -232     6     4 | 133.75  -63.5 127.75
 10:29:07    LVN_dn from_above bid  30527.50 |     12     12      0    0      0 |   -3548   -146    15     7 | 133.25  -64.0 127.25
 10:29:09    LVN_dn from_below ask  30526.75 |      7      7      0    0      0 |   -3550   -125    19    12 |  134.0 -63.25 122.25
 10:29:11    LVN_dn from_above bid  30527.50 |      5      4      1    0      0 |   -3550   -106    20    14 | 133.25  -64.0 125.75
 10:29:12    LVN_dn from_above bid  30526.75 |      3      3      0    0      0 |   -3534    -81    27    15 |  134.0 -63.25 128.25
 10:29:13    LVN_dn from_above bid  30526.75 |      3      3      0    0      0 |   -3524    -64    42    20 |  134.0 -63.25 127.25
 10:29:14       VAH from_above bid  30522.50 |     10      9      1    0      0 |   -3530    -66    27    44 | 138.25  -59.0  132.0
 10:29:17       VAH from_above bid  30522.50 |     24     24      0    0      0 |   -3544    -71    31    48 | 138.25  -59.0  131.5
 10:29:17    LVN_dn from_below ask  30526.75 |     14     13      1    0      0 |   -3537    -64    44    20 |  134.0 -63.25 127.25
 10:29:19    LVN_dn from_below ask  30527.25 |      2      0      2    0      0 |   -3534    -58    47    21 |  133.5 -63.75 131.25
 10:29:29    LVN_dn from_above bid  30527.25 |      0      0      0    0      0 |   -3556    -88    48    33 |  133.5 -63.75  129.5
 10:29:30       VAH from_above bid  30522.50 |      7      7      0    0      0 |   -3554    -79     5    14 | 138.25  -59.0 134.75
 10:29:35       VAH from_below ask  30521.50 |     11     11      0    0      0 |   -3559    -23    15    27 | 139.25  -58.0  130.5
 10:29:38       VAH from_below ask  30522.00 |      8      8      0    0      0 |   -3564    -25    24    30 | 138.75  -58.5 128.75
 10:29:40       VAH from_above bid  30522.00 |      9      9      0    0      0 |   -3567     27    28    35 | 138.75  -58.5 130.25
 10:29:42       VAH from_above bid  30522.50 |     11     10      1    0      0 |   -3560     99    32    39 | 138.25  -59.0  129.0
 10:29:44       VAH from_above bid  30522.50 |      3      3      0    0      0 |   -3555    100    35    43 | 138.25  -59.0  128.0
 10:29:51     EM+1s from_above bid  30509.00 |     20     15      5    0      0 |   -3611     76     0     8 | 151.75  -45.5 141.75
 10:29:52     EM+1s from_above bid  30509.00 |     16     15      1    0      0 |   -3615     83     0    15 | 151.75  -45.5 140.75
 10:29:57       VAH from_below ask  30521.75 |      4      4      0    0      0 |   -3574     79    33    46 |  139.0 -58.25  126.0
 10:29:59       VAH from_below ask  30521.50 |     22     16      6    0      0 |   -3551     54    58    48 | 139.25  -58.0  124.5
 10:30:01       VAH from_below ask  30521.75 |      5      5      0    0      0 |   -3567     57    81    47 |  139.0 -58.25  118.0
 10:30:02       VAH from_below ask  30522.50 |      5      4      1    0      0 |   -3559     65    86    52 | 138.25  -59.0 116.75
 10:30:11     EM+1s from_above bid  30509.00 |     23     17      6    0      0 |   -3598    -48     0    30 | 151.75  -45.5  123.0
 10:30:11     EM+1s from_above bid  30508.75 |     14     13      1    0      0 |   -3601    -52     0    37 |  152.0 -45.25 122.25
 10:30:12     EM+1s from_below ask  30508.25 |     15     13      2    0      0 |   -3623    -88    11    51 |  152.5 -44.75  123.0
 10:30:14     EM+1s from_above bid  30508.50 |      2      2      0    0      0 |   -3642   -112    15    52 | 152.25  -45.0  123.5
 10:30:15     EM+1s from_below ask  30508.25 |     10     10      0    0      0 |   -3634   -102    26    58 |  152.5 -44.75 124.25
 10:30:25     onVAH from_above bid  30478.50 |      0      0      0    0      0 |   -3848   -333     0     6 | 182.25  -15.0  155.5
 10:30:28     onVAH from_above bid  30479.50 |     10      9      1    0      0 |   -3865   -326     3    17 | 181.25  -16.0  153.5
 10:30:29     onVAH from_below ask  30478.75 |      0      0      0    0      0 |   -3843   -304    17    21 |  182.0 -15.25 154.25
 10:30:29     onVAH from_below ask  30479.50 |      0      0      0    0      0 |   -3843   -304    17    21 | 181.25  -16.0  153.5
 10:30:29     onVAH from_below ask  30478.75 |      0      0      0    0      0 |   -3843   -304    17    21 |  182.0 -15.25 154.25
 10:30:29     onVAH from_below ask  30478.50 |      0      0      0    0      0 |   -3863   -324    17    30 | 182.25  -15.0  154.5
 10:30:30     onVAH from_above bid  30479.50 |     11     10      1    0      0 |   -3870   -322    19    34 | 181.25  -16.0  152.0
 10:30:31     onVAH from_below ask  30478.50 |     18     15      3    0      0 |   -3874   -317    23    36 | 182.25  -15.0 152.75
 10:30:34     onVAH from_below ask  30478.50 |      9      9      0    0      0 |   -3920   -361    27    36 | 182.25  -15.0  149.5
 10:30:34     onVAH from_below ask  30478.50 |     11     10      1    0      0 |   -3916   -357    31    36 | 182.25  -15.0 147.75
 10:30:40     onVAH from_below ask  30478.50 |     10     10      0    0      0 |   -3928   -360    39    40 | 182.25   -4.5 147.75
 10:30:40     onVAH from_below ask  30478.75 |      9      9      0    0      0 |   -3912   -342    55    48 |  182.0  -4.75 148.25
 10:30:40     onVAH from_above bid  30479.50 |     15     12      3    0      0 |   -3914   -344    56    53 | 181.25   -5.5  147.5
 10:30:40     onVAH from_above bid  30479.50 |     12     12      0    0      0 |   -3901   -333    56    58 | 181.25   -5.5  148.5
 10:30:42     onVAH from_below ask  30478.50 |     13     13      0    0      0 |   -3874   -316    68    58 | 182.25  -0.25  149.0
 10:30:42     onVAH from_above bid  30478.75 |      5      4      1    0      0 |   -3877   -317    68    59 |  182.0  -0.25 148.75
 10:30:43     onVAH from_above bid  30479.25 |     10     10      0    0      0 |   -3872   -312    78    63 |  181.5  -0.25 148.25
 10:30:56     onVAH from_above bid  30479.50 |      5      3      2    0      0 |   -3916   -337    75    50 | 181.25   -0.5 145.25
 10:31:23     EM+1s from_below ask  30508.25 |     11     11      0    0      0 |   -3848    -40     3     0 |  152.5 -29.25 112.25
 10:31:39     EM+1s from_above bid  30508.75 |      5      5      0    0      0 |   -3829    126     7     2 |  152.0 -29.75  107.5
 10:31:51       VAH from_below ask  30521.50 |     16     14      2    0      0 |   -3822     32     6     0 | 139.25  -42.5   86.0
 10:32:01       VAH from_below ask  30521.50 |     10     10      0    0      0 |   -3829     97     7     0 | 139.25  -42.5  99.25
 10:32:04       VAH from_below ask  30522.00 |     13     12      1    0      0 |   -3821     77    10     1 | 138.75  -43.0   97.5
 10:32:04       VAH from_above bid  30521.75 |      5      4      1    0      0 |   -3781    133    24     5 |  139.0 -42.75 100.25
 10:32:05       VAH from_below ask  30521.50 |     14     14      0    0      0 |   -3776    138    26     7 | 139.25  -42.5 101.25
 10:32:05       VAH from_below ask  30521.50 |     26     26      0    0      0 |   -3766    151    32     7 | 139.25  -42.5 101.25
 10:32:05       VAH from_below ask  30521.75 |     26     26      0    0      0 |   -3787    130    32    13 |  139.0 -42.75  101.0
 10:32:05       VAH from_below ask  30521.50 |     26     26      0    0      0 |   -3787    130    32    13 | 139.25  -42.5 101.25
 10:32:05       VAH from_below ask  30522.50 |      3      3      0    0      0 |   -3781    137    34    14 | 138.25  -43.5 100.25
 10:32:07       VAH from_above bid  30522.25 |     11     10      1    0      0 |   -3783    152    41    22 |  138.5 -43.25  100.5
 10:32:11     EM+1s from_below ask  30509.00 |      0      0      0    0      0 |   -3819    106     3    13 | 151.75  -30.0 117.75
 10:32:16       VAH from_below ask  30521.75 |     12     12      0    0      0 |   -3838     40    43    28 |  139.0 -42.75  101.0
 10:32:24     EM+1s from_below ask  30508.25 |     11     11      0    0      0 |   -3866    -38    11    13 |  152.5 -29.25  121.0
 10:32:53     onVAH from_above bid  30479.25 |     12     11      1    0      0 |   -4074   -249     0    25 |  181.5  -0.25  140.0
 10:33:04     EM+1s from_below ask  30508.25 |      6      7      0    0      0 |   -4024   -214     1     1 |  152.5  -23.0  97.75
 10:33:05     EM+1s from_below ask  30508.50 |     25     24      1    0      0 |   -4021   -238    12     9 | 152.25 -23.25  97.25
 10:33:23     EM+1s from_below ask  30508.50 |     14     14      0    0      0 |   -4044   -192    15     9 | 152.25 -23.25  101.5
 10:33:49     EM+1s from_above bid  30508.50 |      6      5      1    0      0 |   -4012    -45    15     4 | 152.25   -1.5  87.75
 10:33:49     EM+1s from_above bid  30508.25 |      1      0      1    0      0 |   -4010    -35    15     5 |  152.5  -1.25   88.5
 10:33:56     EM+1s from_above bid  30509.00 |      8      8      0    0      0 |   -3996     60    10     9 | 151.75   -1.0   94.5
 10:33:59     EM+1s from_below ask  30509.00 |      5      4      1    0      0 |   -3981     77    15    11 | 151.75    0.0  95.75
 10:34:07       VAH from_below ask  30522.00 |      8      7      1    0      0 |   -3962     72     1     0 | 138.75   -1.0  89.25
 10:34:09       VAH from_above bid  30521.75 |      2      2      0    0      0 |   -3942     93    12    24 |  139.0   -0.5   93.5
 10:34:12    LVN_dn from_below ask  30526.75 |      9      9      0    0      0 |   -3927    119     3     0 |  134.0   -3.5   87.0
 10:34:13    LVN_dn from_below ask  30526.75 |     22     22      0    0      0 |   -3930    117    12     2 |  134.0   -3.5   88.5
 10:34:14    LVN_dn from_above bid  30527.25 |     22     22      0    0      0 |   -3876    171    26     8 |  133.5   -4.0   88.0
 10:34:14    LVN_dn from_below ask  30527.50 |      0      0      0    0      0 |   -3876    171    26     8 | 133.25  -4.25  87.75
 10:34:25    LVN_dn from_above bid  30527.75 |     14      9      5    0      0 |   -3862    183    26    17 |  133.0   -4.5  95.75
 10:34:26    LVN_dn from_above bid  30527.50 |     13     13      0    0      0 |   -3865    173    28    27 | 133.25  -4.25  94.75
 10:34:27    LVN_dn from_below ask  30527.00 |     14     13      1    0      0 |   -3875    163    31    28 | 133.75  -3.75  95.25
 10:34:28    LVN_dn from_below ask  30527.75 |      2      1      1    0      0 |   -3878    152    33    28 |  133.0   -4.5   94.5
 10:34:35    LVN_dn from_above bid  30527.50 |     12     12      0    0      0 |   -3882    185    34    35 | 133.25  -4.25   97.0
 10:34:36    LVN_dn from_above bid  30527.75 |     19     19      0    0      0 |   -3886    176    35    41 |  133.0   -4.5  94.75
 10:34:38    LVN_dn from_above bid  30527.75 |     12     12      0    0      0 |   -3890    152    39    58 |  133.0   -4.5  94.75
 10:34:41    LVN_dn from_above bid  30527.75 |     11     10      1    0      0 |   -3896    155    42    60 |  133.0   -4.5  92.25
 10:34:55       PDH from_below ask  30544.25 |      7      7      0    0      0 |   -3838    157    11     0 |  116.5  -21.0  76.75
 10:34:56       PDH from_above bid  30545.25 |     12     11      1    0      0 |   -3841    152    16    12 |  115.5  -22.0   76.5
 10:34:57       PDH from_above bid  30545.00 |     11     11      0    0      0 |   -3836    147    18    15 | 115.75 -21.75   71.0
 10:34:59       PDH from_above bid  30545.25 |     15     15      0    0      0 |   -3848    133    25    40 |  115.5  -22.0   70.0
 10:35:02       PDH from_below ask  30544.50 |     10      9      1    0      0 |   -3844    151    45    61 | 116.25 -21.25   76.5
 10:35:04       PDH from_above bid  30544.75 |      9      9      0    0      0 |   -3837    147    48    65 |  116.0  -21.5  82.25
 10:35:05       PDH from_below ask  30544.50 |      8      8      0    0      0 |   -3826    158    59    72 | 116.25 -21.25   82.5
 10:35:11    LVN_dn from_above bid  30527.75 |     13     11      2    0      0 |   -3889     43     2    12 |  133.0   -4.5 104.25
 10:35:20       PDH from_below ask  30544.25 |     13     12      1    0      0 |   -3936    -75    64    72 |  116.5  -20.5   82.5
 10:35:36    LVN_dn from_above bid  30527.75 |      8      6      2    0      0 |   -3972    -86     0    17 |  133.0   -4.0  101.5
 10:35:38    LVN_dn from_above bid  30527.50 |     17     17      0    0      0 |   -3972    -78     4    21 | 133.25  -3.75  103.5
 10:36:11    LVN_dn from_above bid  30527.75 |      9      9      0    0      0 |   -4021    -84     1     3 |  133.0   -4.0   96.5
 10:36:15    LVN_dn from_below ask  30526.75 |     12     11      1    0      0 |   -4029    -78     3     3 |  134.0   -2.0   98.0
 10:36:16    LVN_dn from_above bid  30527.75 |     14     14      0    0      0 |   -4029    -77     5     7 |  133.0   -3.0  92.25
 10:36:17    LVN_dn from_above bid  30527.25 |     10     10      0    0      0 |   -4039    -82     6    18 |  133.5   -2.5  92.75
 10:36:18    LVN_dn from_above bid  30527.75 |     11     10      1    0      0 |   -4038    -80    13    24 |  133.0   -3.0  90.75
 10:36:19    LVN_dn from_above bid  30527.50 |      5      5      0    0      0 |   -4043   -101    13    27 | 133.25  -2.75  87.75
 10:36:20    LVN_dn from_below ask  30526.75 |     20     20      0    0      0 |   -4042   -113    16    28 |  134.0   -2.0  87.25
 10:36:21    LVN_dn from_below ask  30527.50 |      4      4      0    0      0 |   -4041   -109    22    32 | 133.25  -0.75   81.5
 10:36:28       PDH from_below ask  30544.50 |     15     14      1    1      0 |   -3994    -42     2     0 | 116.25   -2.0  59.75
          iceberg oid=6878427650099 cumFilled=0 maxDisplayed=3 stillResting=3
 10:36:28       PDH from_above bid  30545.00 |     11     11      0    0      0 |   -3973    -21    18     0 | 115.75   -2.5   59.0
 10:36:28       PDH from_above bid  30545.25 |     11     11      0    0      0 |   -3976    -24    19     3 |  115.5  -2.75  58.75
 10:36:29       PDH from_above bid  30545.00 |      3      3      0    0      0 |   -3978    -23    20     4 | 115.75   -2.5   59.0
 10:36:30       PDH from_above bid  30544.75 |      8      8      0    0      0 |   -3968    -12    39    22 |  116.0  -2.25   60.5
 10:36:31       PDH from_below ask  30544.75 |     10     10      0    0      0 |   -3965     -9    40    22 |  116.0  -2.25  64.75
 10:36:32       PDH from_above bid  30545.00 |     16     15      1    0      0 |   -3975    -22    40    35 | 115.75   -2.5   64.5
 10:36:34       PDH from_below ask  30544.25 |     11     10      1    0      0 |   -3967    -12    52    40 |  116.5  -1.75   64.0
 10:36:34       PDH from_below ask  30544.50 |     13     12      1    0      0 |   -3976    -21    54    47 | 116.25  -0.25  63.75
 10:37:58  QQQ Open from_below ask  30594.00 |     11      6      5    0      0 |   -3715    112     5     0 |  66.75  -42.5   30.5
 10:38:31  QQQ Open from_below ask  30594.00 |     17     14      3    0      0 |   -3763     81     4     0 |  66.75  -42.5   44.5
 10:38:43  QQQ Open from_below ask  30594.00 |      9      8      1    0      0 |   -3761     39    14    15 |  66.75  -42.5  45.75
 10:38:44  QQQ Open from_below ask  30595.00 |      6      5      1    0      0 |   -3761     39    19    15 |  65.75  -43.5   42.5
 10:38:45  QQQ Open from_below ask  30594.50 |      8      7      1    0      0 |   -3769    -16    24    22 |  66.25  -43.0  46.25
 10:38:49  QQQ Open from_above bid  30595.00 |      8      8      0    0      0 |   -3740      1    27    29 |  65.75  -43.5  47.25
 10:38:49  QQQ Open from_below ask  30594.00 |     25     25      0    0      0 |   -3753    -12    31    42 |  66.75  -42.5  48.25
 10:38:59  QQQ Open from_below ask  30594.00 |     14     13      1    0      0 |   -3773    -48    84    58 |  66.75  -42.5   53.5
 10:39:01  QQQ Open from_below ask  30594.00 |     14     14      0    0      0 |   -3787    -53    77    59 |  66.75  -42.5   52.0
 10:39:02  QQQ Open from_below ask  30594.75 |      4      4      0    0      0 |   -3789    -55    80    59 |   66.0 -43.25   48.5
 10:39:05  QQQ Open from_below ask  30594.50 |      9      9      0    0      0 |   -3796    -65    89    72 |  66.25  -43.0  49.25
 10:39:06  QQQ Open from_below ask  30594.00 |     10     10      0    0      0 |   -3808    -79    93    75 |  66.75  -42.5   53.0
 10:39:08  QQQ Open from_below ask  30594.00 |     12     11      1    0      0 |   -3809    -44    97    78 |  66.75  -42.5   55.0
 10:39:15  QQQ Open from_below ask  30594.00 |     12     12      0    0      0 |   -3818     -5    92    74 |  66.75  -42.5  47.25
 10:39:18  QQQ Open from_below ask  30594.25 |     19     19      0    0      0 |   -3825    -16    90    73 |   66.5 -42.75   47.0
 10:39:20  QQQ Open from_above bid  30595.00 |     12     12      0    0      0 |   -3816      0    88    46 |  65.75  -43.5   44.0
 10:39:27  QQQ Open from_below ask  30594.25 |     17     16      1    0      0 |   -3836    -88    91    46 |   66.5 -42.75  41.25
 10:39:28  QQQ Open from_above bid  30594.25 |     12     11      1    0      0 |   -3831    -85    96    48 |   66.5 -42.75  39.75
 10:39:31  QQQ Open from_below ask  30594.75 |      0      0      0    0      0 |   -3832    -65    61    41 |   66.0 -43.25   38.0
 10:39:38  QQQ Open from_below ask  30594.50 |     13     12      1    0      0 |   -3825    -44    41    19 |  66.25  -43.0   41.0
 10:39:40  QQQ Open from_below ask  30594.00 |     10     10      0    0      0 |   -3821    -53    38    14 |  66.75  -42.5  40.25
 10:39:40  QQQ Open from_below ask  30594.50 |      8      8      0    0      0 |   -3823    -55    39    14 |  66.25  -43.0  37.75
 10:39:41  QQQ Open from_above bid  30594.75 |     15     15      0    0      0 |   -3817    -49    42    21 |   66.0 -43.25  35.75
 10:39:43  QQQ Open from_above bid  30594.50 |      7      7      0    0      0 |   -3832    -70    42    24 |  66.25  -43.0  34.75
 10:39:47  QQQ Open from_above bid  30595.00 |     14     13      1    0      0 |   -3834    -82    50    29 |  65.75  -43.5   36.5
 10:39:59  QQQ Open from_above bid  30595.00 |     13     13      0    0      0 |   -3820    -40    18    21 |  65.75  -43.5   28.5
 10:40:01  QQQ Open from_above bid  30594.75 |      8      8      0    0      0 |   -3816    -28    20    25 |   66.0 -43.25   31.5
 10:40:02  QQQ Open from_below ask  30594.00 |     15     14      1    0      0 |   -3798     -9    46    28 |  66.75  -42.5  32.25
 10:40:04  QQQ Open from_below ask  30594.00 |     11     11      0    0      0 |   -3805     -8    49    31 |  66.75  -42.5   24.0
 10:40:06  QQQ Open from_below ask  30594.50 |     11     10      1    0      0 |   -3822    -19    53    33 |  66.25  -43.0   23.0
 10:40:20  QQQ Open from_above bid  30595.00 |     10      9      1    0      0 |   -3802     13    38    30 |  65.75  -43.5   5.75
 10:40:22  QQQ Open from_below ask  30594.00 |     15     15      0    0      0 |   -3809     18    50    35 |  66.75  -42.5   4.75
 10:40:23  QQQ Open from_below ask  30594.50 |      6      6      0    0      0 |   -3810     23    55    37 |  66.25  -43.0   0.75
 10:40:31  QQQ Open from_below ask  30594.00 |      8      8      0    0      0 |   -3875    -35    55    28 |  66.75  -42.5   5.25
 10:40:39  QQQ Open from_below ask  30594.00 |     20     13      7    0      0 |   -3824     -1    28    16 |  66.75  -42.5  18.75
 10:40:52  QQQ Open from_below ask  30594.00 |     12     12      0    0      0 |   -3823    -56    28    13 |  66.75  -42.5  30.75
 10:45:25  QQQ Open from_below ask  30594.00 |     20     15      5    0      0 |   -4006     13     6     0 |  66.75  -9.75   29.5
 10:45:30  QQQ Open from_below ask  30594.25 |     14     13      1    0      0 |   -3995     23     9     0 |   66.5  -10.0   36.0
 10:45:39  QQQ Open from_below ask  30594.50 |     12     12      0    0      0 |   -4005     23    24     7 |  66.25 -10.25  23.25
 10:45:41  QQQ Open from_below ask  30595.00 |      5      4      1    0      0 |   -4005     25    27     7 |  65.75 -10.75  21.75
 10:45:41  QQQ Open from_above bid  30594.50 |      3      3      0    0      0 |   -3995     35    33    12 |  66.25 -10.25  20.25
 10:45:42  QQQ Open from_above bid  30594.25 |     10      9      1    0      0 |   -3980     50    46    18 |   66.5  -10.0   20.5
 10:45:42  QQQ Open from_above bid  30595.00 |     12     11      1    0      0 |   -3996     36    47    27 |  65.75 -10.75  19.75
 10:46:00  QQQ Open from_below ask  30594.00 |     12     11      1    0      0 |   -3997     74    58    43 |  66.75  -9.75  27.25
 10:46:01  QQQ Open from_below ask  30594.00 |      8      7      1    0      0 |   -3999     65    50    36 |  66.75  -9.75   27.5
 10:46:02  QQQ Open from_below ask  30594.75 |      1      1      0    0      0 |   -3993     69    58    38 |   66.0  -10.5   27.5
 10:46:25       MHP from_below ask  30611.00 |     19     11      8    0      0 |   -3895    128     5     0 |  49.75 -26.75    4.0
 10:46:25   ONH/PMH from_below ask  30612.00 |     30     23      7    0      0 |   -3869    154    27     0 |  48.75 -27.75    3.0
 10:46:25       MHP from_above bid  30611.25 |      1      0      1    0      0 |   -3848    175    13     1 |   49.5  -27.0   5.25
 10:46:25   ONH/PMH from_below ask  30612.00 |      8      8      0    0      0 |   -3846    162    34     5 |  48.75 -27.75   3.25
 10:46:25       MHP from_above bid  30611.50 |     10      9      1    0      0 |   -3848    160    23    11 |  49.25 -27.25   4.25
 10:46:25   ONH/PMH from_below ask  30613.00 |      5      4      1    0      0 |   -3846    161    43    11 |  47.75 -28.75   2.75
 10:46:26       MHP from_above bid  30611.00 |      5      4      1    0      0 |   -3848    159    28    20 |  49.75 -26.75    1.5
 10:46:26       MHP from_below ask  30611.00 |     28     28      0    0      0 |   -3853    154    33    25 |  49.75 -26.75    1.5
 10:46:28       MHP from_below ask  30610.75 |     10      9      1    0      0 |   -3857    145    38    25 |   50.0  -26.5    1.5
 10:46:29   ONH/PMH from_below ask  30612.25 |      9      9      0    0      0 |   -3855    144    67    26 |   48.5  -28.0   1.25
 10:46:31       MHP from_below ask  30610.75 |     13     13      0    0      0 |   -3857    140    52    37 |   50.0  -26.5   7.25
 10:46:40       MHP from_below ask  30611.25 |      8      6      2    0      0 |   -3889    114    55    37 |   49.5  -27.0  12.25
 10:46:41   ONH/PMH from_above bid  30612.75 |      9      9      0    0      0 |   -3883    112    69    28 |   48.0  -28.5  10.75
 10:46:42   ONH/PMH from_above bid  30613.00 |     15     15      0    0      0 |   -3884    110    71    36 |  47.75 -28.75   10.5
 10:46:51      HVN2 from_below ask  30623.50 |     20     20      0    0      0 |   -3848    155     3     0 |  37.25 -39.25  12.75
 10:47:05      HVN2 from_below ask  30623.50 |     17     16      1    0      0 |   -3843    133    23    12 |  37.25 -39.25    9.5
 10:47:14   ONH/PMH from_above bid  30613.00 |     19     15      4    0      0 |   -3865     23     1     8 |  47.75 -28.75   7.75
 10:47:14       MHP from_above bid  30611.50 |     16     15      1    0      0 |   -3867     20     0     2 |  49.25 -27.25   9.25
 10:47:17   ONH/PMH from_above bid  30612.75 |     15     14      1    0      0 |   -3872     17     1    12 |   48.0  -28.5   13.5
 10:47:17       MHP from_above bid  30611.50 |     20     17      3    0      0 |   -3877     13     0     8 |  49.25 -27.25  14.75
 10:47:18      HVN2 from_below ask  30624.00 |     12     10      2    0      0 |   -3866     27    26    12 |  36.75 -39.75   4.25
 10:47:20      HVN2 from_below ask  30624.25 |      6      5      1    0      0 |   -3823     77    42    17 |   36.5  -40.0   -0.5
 10:47:30      HVN2 from_above bid  30624.50 |     29     21      8    0      0 |   -3833     27    29    33 |  36.25 -40.25    4.0
 10:47:30      HVN2 from_above bid  30624.00 |      8      8      0    0      0 |   -3842     23    31    40 |  36.75 -39.75    5.0
 10:48:07       IBH from_below ask  30642.50 |     13     11      2    0      0 |   -3653    207     6     2 |  18.25 -58.25   -4.5
 10:48:21       IBH from_above bid  30643.25 |     13     13      0    0      0 |   -3488    320    15     9 |   17.5  -59.0   -2.5
 10:48:22       IBH from_above bid  30643.25 |      9      9      0    0      0 |   -3487    322    15    10 |   17.5  -59.0   -2.5
 10:48:24       IBH from_above bid  30643.25 |     18     13      5    0      0 |   -3506    300    16    24 |   17.5  -59.0   0.25
 10:48:26       IBH from_above bid  30643.50 |     14     13      1    0      0 |   -3514    297    17    27 |  17.25 -59.25   0.75
 10:48:28       IBH from_below ask  30642.50 |      8      8      0    0      0 |   -3523    284    18    32 |  18.25 -58.25  -1.75
 10:48:28       IBH from_above bid  30643.50 |     17     16      1    0      0 |   -3524    283    20    35 |  17.25 -59.25  -2.75
 10:48:30       IBH from_below ask  30643.50 |      8      7      1    0      0 |   -3522    321    23    40 |  17.25 -59.25    0.0
 10:48:34       IBH from_below ask  30642.75 |     12     11      1    0      0 |   -3520    314    35    47 |   18.0  -58.5   2.25
